Group,Genus,Species,Paper,Authors,Journal,Year,Link,Sex,Experiment_location,Stimulus,Frequency_range,Tool_Mechanical_vib,Electrode_type,Recording_site,Mechanical_State,Electrical_tuning_fq,Electrical Tuning Frequency (Hz),CAP50,Age,Mating_status,Experimental_time
Ae. aegypti,Aedes,aegypti,Sex and species specific hearing mechanisms in mosquito flagellar ears,Su M.P.; Andrés M.; Boyd-Gibbins N.; Somers J.; Albert J.T.,Nature Communications,2018,https://doi.org/10.1038/s41467-018-06388-7,Male,Lab,Force step,,LDV,Tungsten,Antennal_nerve_bundle,Active quiescent,,,180,3_8,Virgin,
Ae. aegypti,Aedes,aegypti,Sex and species specific hearing mechanisms in mosquito flagellar ears,Su M.P.; Andrés M.; Boyd-Gibbins N.; Somers J.; Albert J.T.,Nature Communications,2018,https://doi.org/10.1038/s41467-018-06388-7,Female,Lab,Force step,,LDV,Tungsten,Antennal_nerve_bundle,Active quiescent,,,1079,3_8,Virgin,
Ae. aegypti,Aedes,aegypti,Hitting the right note at the right time: Circadian control of audibility in Anopheles mosquito mating swarms is mediated by flight tones,"Somers, J.; Georgiades, M.; Su, M.P.; Bagi, J.; Andrés, M.; Alampounti, A.; Mills, G.; Ntabaliba, W.; Moore, S.J.; Spaccapelo, R.; Albert, J.T.;",Science Advances,2022,https://doi.org/10.1126/sciadv.abl4844,Male,Lab,Sweep,15-695 Hz (10 Hz),LDV,Tungsten,Antennal_nerve_bundle,Active quiescent,245 (median) +/- 10.6 (SE),185,,4_8,Virgin,
Ae. aegypti,Aedes,aegypti,The Long and Short of Hearing in the Mosquito Aedes aegypti,Menda G.; Nitzany E.I.; Shamble P.S.; Wells A.; Harrington L.C.; Miles R.N.; Hoy R.R.,Current Biology,2019,https://doi.org/10.1016/j.cub.2019.01.026,Male,Lab,Sweep,50-2050 Hz (100 Hz),LDV,Tungsten,Antennal_nerve_bundle,Active quiescent,200-400,300,,4_10,Virgin,
Ae. aegypti,Aedes,aegypti,Chordotonal organ mechanosensory pathways as potential targets for the control of mosquito borne diseases,Su M.P.,Thesis,2017,https://discovery.ucl.ac.uk/id/eprint/1542425/,Female,Lab,Sweep,15-695 Hz (10 Hz),,,Antennal_nerve_bundle,Active quiescent,175 (median) +/- 6.66,175,,,Virgin,
Ae. communis,Aedes,communis,"Frequency tuning of swarming male mosquitoes (Aedes communis, Culicidae) and its neural mechanisms",Lapshin D.N.; Vorontsov D.D.,Journal of Insect Physiology,2021,https://doi.org/10.1016/j.jinsphys.2021.104233,Male,Lab,Sweep,140-350,,Borosilicate glass microelectrode,Antennal_nerve_bundle,Active quiescent,175-350,262.5,,,Virgin,
Ae. communis,Aedes,communis,[Frequency characteristics of the flight sounds and of Johnson's organs in sympatric mosquitoes of the genus Aedes (Culicidae)].,Tamarina N.A.; Zhantiev R.D.; Fedorova M.V.,Parazitologiia,1980,https://pubmed.ncbi.nlm.nih.gov/7422349/,Male,Lab,Sweep,80-450,,Tungsten,Antennal_nerve_bundle,Active quiescent,310,310,,,Virgin,
Ae. diantaeus,Aedes,diantaeus,[Frequency characteristics of the flight sounds and of Johnson's organs in sympatric mosquitoes of the genus Aedes (Culicidae)].,Tamarina N.A.; Zhantiev R.D.; Fedorova M.V.,Parazitologiia,1980,https://pubmed.ncbi.nlm.nih.gov/7422349/,Male,Lab,Sweep,80-450,,Tungsten,Antennal_nerve_bundle,Active quiescent,280,280,,,Virgin,
Ae. diantaeus,Aedes,diantaeus,[Frequency characteristics of the flight sounds and of Johnson's organs in sympatric mosquitoes of the genus Aedes (Culicidae)].,Tamarina N.A.; Zhantiev R.D.; Fedorova M.V.,Parazitologiia,1980,https://pubmed.ncbi.nlm.nih.gov/7422349/,Male,Lab,Sweep,80-450,,Tungsten,Antennal_nerve_bundle,Active quiescent,345,345,,,Virgin,
Ae. diantaeus,Aedes,diantaeus,[Frequency characteristics of the flight sounds and of Johnson's organs in sympatric mosquitoes of the genus Aedes (Culicidae)].,Tamarina N.A.; Zhantiev R.D.; Fedorova M.V.,Parazitologiia,1980,https://pubmed.ncbi.nlm.nih.gov/7422349/,Male,Lab,Sweep,80-450,,Tungsten,Antennal_nerve_bundle,Active quiescent,410,410,,,Virgin,
Ae. excrucians,Aedes,excrucians,"Frequency tuning of individual auditory receptors in female mosquitoes (Diptera, Culicidae)",Lapshin D.N.; Vorontsov D.D.,Journal of Insect Physiology,2013,https://doi.org/10.1016/j.jinsphys.2013.05.010,Female,Lab,Sweep,20-400,,Borosilicate glass microelectrode,Antennal_nerve_bundle,Active quiescent,120,120,,,Virgin,
Ae. excrucians,Aedes,excrucians,"Functions of the Auditory System of Female Mosquitoes (Diptera, Culicidae)",Lapshin D.N.; Vorontsov D.D.,Entomological Review,2023,https://doi.org/10.1134/S0013873823030016,Female,Lab,Sweep,40-300,,Borosilicate glass microelectrode,Antennal_nerve_bundle,Active quiescent,105,105,,,Virgin,
Ae. excrucians,Aedes,excrucians,"Functions of the Auditory System of Female Mosquitoes (Diptera, Culicidae)",Lapshin D.N.; Vorontsov D.D.,Entomological Review,2023,https://doi.org/10.1134/S0013873823030016,Female,Lab,Sweep,40-300,,Borosilicate glass microelectrode,Auditory_interneuron,Active quiescent,82.5,82.5,,,Virgin,
Ae. togoi,Aedes,togoi,Making waves: The use of sound by a mosquito and three moth species,Hart M.,Thesis,2012,https://summit.sfu.ca/_flysystem/fedora/sfu_migrate/13647/etd7352_MHart.pdf,Male,Lab,Sweep,100-1000,,Tungsten,Antennal_nerve_bundle,Active quiescent,302 +/- 46 (mean +/- SD),302,,,Virgin,
Ae. togoi,Aedes,togoi,Making waves: The use of sound by a mosquito and three moth species,Hart M.,Thesis,2012,https://summit.sfu.ca/_flysystem/fedora/sfu_migrate/13647/etd7352_MHart.pdf,Female,Lab,Sweep,100-1000,,Tungsten,Antennal_nerve_bundle,Active quiescent,227 +/- 67 (mean +/- SD),227,,,Virgin,
An. coluzzi,Anopheles,coluzzi,“Singing on the Wing” as a Mechanism for Species Recognition in the Malarial Mosquito Anopheles gambiae,Pennetier C.; Warren B.; Dabiré K.R.; Russell I.J.; Gibson G.,Current Biology,2010,https://doi.org/10.1016/j.cub.2009.11.040,Male,Lab,Sweep,"20-1000 (20, 30, 40…. 100, 200, 300… 1000)",Laser Diode Interferometer,Tungsten,Antennal_nerve_bundle,Active quiescent,200 +/- 15 (mean +/- SD),200,,,Virgin,
An. coluzzi,Anopheles,coluzzi,“Singing on the Wing” as a Mechanism for Species Recognition in the Malarial Mosquito Anopheles gambiae,Pennetier C.; Warren B.; Dabiré K.R.; Russell I.J.; Gibson G.,Current Biology,2010,https://doi.org/10.1016/j.cub.2009.11.040,Male,Lab,Sweep,"20-1000 (20, 30, 40…. 100, 200, 300… 1000)",Laser Diode Interferometer,Tungsten,Antennal_nerve_bundle,Active SSO,300 +/- 25 (mean +/- SD),300,,,Virgin,
An. gambiae,Anopheles,gambiae,Sex and species specific hearing mechanisms in mosquito flagellar ears,Su M.P.; Andrés M.; Boyd-Gibbins N.; Somers J.; Albert J.T.,Nature Communications,2018,https://doi.org/10.1038/s41467-018-06388-7,Male,Lab,Force step,,LDV,Tungsten,Antennal_nerve_bundle,Active quiescent,,,135,3_8,Virgin,
An. gambiae,Anopheles,gambiae,Sex and species specific hearing mechanisms in mosquito flagellar ears,Su M.P.; Andrés M.; Boyd-Gibbins N.; Somers J.; Albert J.T.,Nature Communications,2018,https://doi.org/10.1038/s41467-018-06388-7,Female,Lab,Force step,,LDV,Tungsten,Antennal_nerve_bundle,Active quiescent,,,1425,3_8,Virgin,
An. gambiae,Anopheles,gambiae,Hitting the right note at the right time: Circadian control of audibility in Anopheles mosquito mating swarms is mediated by flight tones,"Somers, J.; Georgiades, M.; Su, M.P.; Bagi, J.; Andrés, M.; Alampounti, A.; Mills, G.; Ntabaliba, W.; Moore, S.J.; Spaccapelo, R.; Albert, J.T.;",Science Advances,2022,https://doi.org/10.1126/sciadv.abl4844,Male,Lab,Sweep,15-695 Hz (10 Hz),LDV,Tungsten,Antennal_nerve_bundle,Active quiescent,185 (median) +/- 9.7,245,,4_8,Virgin,
An. gambiae,Anopheles,gambiae,Chordotonal organ mechanosensory pathways as potential targets for the control of mosquito borne diseases,Su M.P.,Thesis,2017,https://discovery.ucl.ac.uk/id/eprint/1542425/,Female,Lab,Sweep,15-695 Hz (10 Hz),,,Antennal_nerve_bundle,Active quiescent,155 (median) +/- 3.65,155,,,Virgin,
An. messeae,Anopheles,messeae,"Frequency tuning of individual auditory receptors in female mosquitoes (Diptera, Culicidae)",Lapshin D.N.; Vorontsov D.D.,Journal of Insect Physiology,2013,https://doi.org/10.1016/j.jinsphys.2013.05.010,Female,Lab,Sweep,20-400,,Borosilicate glass microelectrode,Antennal_nerve_bundle,Active quiescent,140,140,,,Virgin,
An. subpictus,Anopheles,subpictus,Über den gehorsinn von stechmucken,Tischner H.,Acustica,1953,https://www.ingentaconnect.com/contentone/dav/aaua/1953/00000003/00000005/art00004,Male,Lab,Sweep,100-800 ,,Tungsten,Antennal_nerve_bundle,Active quiescent,380,380,,,Virgin,
Cx. pipiens,Culex,pipiens,Sex Recognition through Midflight Mating Duets in Culex Mosquitoes Is Mediated by Acoustic Distortion,Warren B.; Gibson G.; Russell I.J.,Current Biology,2009,https://doi.org/10.1016/j.cub.2009.01.059,Male,Lab,Sweep,1-2000,Laser Diode Interferometer,Tungsten,Antennal_nerve_bundle,Active quiescent,400,400,,,Virgin,
Cx. pipiens,Culex,pipiens,"Mosquito Bioacoustics: Auditory Processing in Culex pipiens pipiens L. Males (Diptera, Culicidae) during Flight Simulation",Lapshin D.N.,Entomological Review,2012,https://doi.org/10.1134/S0013873812060024,Male,Lab,Sweep,40-500,,Borosilicate glass microelectrode,Antennal_nerve_bundle,Active quiescent,260,260,,,Virgin,
Cx. pipiens,Culex,pipiens,"Frequency Threshold Curves of Auditory Interneurons of Male Mosquitoes Culex pipiens pipiens L. (Diptera, Culicidae)",Lapshin D.N.,Doklady Biological Sciences,2011,https://doi.org/10.1134/S0012496611040065,Male,Lab,Sweep,1-700,,Borosilicate glass microelectrode,Auditory_interneuron,Active quiescent,200,200,,,Virgin,
Cx. pipiens,Culex,pipiens,"Frequency tuning of individual auditory receptors in female mosquitoes (Diptera, Culicidae)",Lapshin D.N.; Vorontsov D.D.,Journal of Insect Physiology,2013,https://doi.org/10.1016/j.jinsphys.2013.05.010,Female,Lab,Sweep,20-400,,Borosilicate glass microelectrode,Antennal_nerve_bundle,Active quiescent,100,100,,,Virgin,
Cx. pipiens,Culex,pipiens,Directional and frequency characteristics of auditory neurons in Culex male mosquitoes,Lapshin D.N.; Vorontsov D.D.,Journal of Experimental Biology,2019,https://doi.org/10.1242/jeb.208785,Male,Lab,Sweep,114-359,,Borosilicate glass microelectrode,Antennal_nerve_bundle,Active quiescent,195,195,,,Virgin,
Cx. pipiens,Culex,pipiens,"Frequency organization of the Johnston's organ in male mosquitoes (Diptera, Culicidae)",Lapshin D.N.; Vorontsov D.D.,Journal of Experimental Biology,2017,https://doi.org/10.1242/jeb.152017,Male,Lab,Sweep,20-500,,Borosilicate glass microelectrode,Antennal_nerve_bundle,Active quiescent,230,230,,,Virgin,
Cx. pipiens,Culex,pipiens,Mapping the Auditory Space of Culex pipiens Female Mosquitoes in 3D,Lapshin D.N.; Vorontsov D.D.,Insects,2023,https://doi.org/10.3390/insects14090743,Female,Lab,Sweep,20-350,,Borosilicate glass microelectrode,Antennal_nerve_bundle,Active quiescent,100,100,,,Virgin,
Cx. quinquefasciatus,Culex,quinquefasciatus,Sex and species specific hearing mechanisms in mosquito flagellar ears,Su M.P.; Andrés M.; Boyd-Gibbins N.; Somers J.; Albert J.T.,Nature Communications,2018,https://doi.org/10.1038/s41467-018-06388-7,Male,Lab,Force step,,LDV,Tungsten,Antennal_nerve_bundle,Active quiescent,,,145,3_8,Virgin,
Cx. quinquefasciatus,Culex,quinquefasciatus,Sex and species specific hearing mechanisms in mosquito flagellar ears,Su M.P.; Andrés M.; Boyd-Gibbins N.; Somers J.; Albert J.T.,Nature Communications,2018,https://doi.org/10.1038/s41467-018-06388-7,Female,Lab,Force step,,LDV,Tungsten,Antennal_nerve_bundle,Active quiescent,,,741,3_8,Virgin,
Cx. quinquefasciatus,Culex,quinquefasciatus,Hitting the right note at the right time: Circadian control of audibility in Anopheles mosquito mating swarms is mediated by flight tones,"Somers, J.; Georgiades, M.; Su, M.P.; Bagi, J.; Andrés, M.; Alampounti, A.; Mills, G.; Ntabaliba, W.; Moore, S.J.; Spaccapelo, R.; Albert, J.T.;",Science Advances,2022,https://doi.org/10.1126/sciadv.abl4844,Male,Lab,Sweep,15-695 Hz (10 Hz),LDV,Tungsten,Antennal_nerve_bundle,Active quiescent,185 (median) +/- 9.5,185,,4_8,Virgin,
Cx. quinquefasciatus,Culex,quinquefasciatus,A role for acoustic distortion in novel rapid frequency modulation behaviour in free-flying male mosquitoes,Simões P.M.V.; Ingham R.A.; Gibson G.; Russell I.J.,Journal of Experimental Biology,2016,https://doi.org/10.1242/jeb.135293,Male,Lab,Sweep,61-1001 Hz,Laser Diode Interferometer,Tungsten,Antennal_nerve_bundle,Active quiescent,281,281,,4_14,Virgin,ZT12-15
Cx. quinquefasciatus,Culex,quinquefasciatus,Chordotonal organ mechanosensory pathways as potential targets for the control of mosquito borne diseases,Su M.P.,Thesis,2017,https://discovery.ucl.ac.uk/id/eprint/1542425/,Female,Lab,Sweep,15-695 Hz (10 Hz),,,Antennal_nerve_bundle,Active quiescent,125 (median) +/- 7.43,125,,,Virgin,
Cx. quinquefasciatus,Culex,quinquefasciatus,The dynein—tubulin motor powers active oscillations and amplification in the hearing organ of the mosquito,Warren B.; Lukashkin A.N.; Russell I.J.,Proceedings of the Royal Society B,2010,https://doi.org/10.1098/rspb.2009.2355,Male,Lab,Sweep,,Laser Diode Interferometer,Tungsten,Antennal_nerve_bundle,Active quiescent,413 +/- 54,413,,,Virgin,
Cx. quinquefasciatus,Culex,quinquefasciatus,Sex Recognition through Midflight Mating Duets in Culex Mosquitoes Is Mediated by Acoustic Distortion,Warren B.; Gibson G.; Russell I.J.,Current Biology,2009,https://doi.org/10.1016/j.cub.2009.01.059,Male,Lab,Sweep,1-2000,Laser Diode Interferometer,Tungsten,Antennal_nerve_bundle,Active quiescent,400,400,,,Virgin,
Cx. quinquefasciatus,Culex,quinquefasciatus,Aerodynamic imaging by mosquitoes inspires a surface detector for autonomous flying vehicles,Nakata T.; Phillips N.; Simões P.; Russell I.J.; Cheney J.A.; Walker S.M.; Bomphrey R.J.,Science,2020,https://doi.org/10.1126/science.aaz9634,Male,Lab,Sweep,61-1001,,Tungsten,Antennal_nerve_bundle,Active quiescent,280,280,,,Virgin,
Tx. brevipalpis,Toxorhynchites,brevipalpis,Frequency doubling by active in vivo motility of mechanosensory neurons in the mosquito ear,Windmill J.F.C.; Jackson J.C.; Pook V.G.; Robert D.,Royal Society Open Science,2018,https://doi.org/10.1098/rsos.171082,Male,Lab,Sweep,320-470,,Tungsten,Intra_pedicel,Active quiescent,435,435,,,Virgin,
Ur. lowii,Uranotaenia,lowii,Tiny spies: mosquito antennae are sensitive sensors for eavesdropping on frog calls,Pantoja-Sánchez H.; Leavell B.C.; Rendon B.; P. de-Silva W.A.P.; Singh R.; Zhou J.; Menda G.; Hoy R.R.; Miles R.N.; Sanscrainte N.D.; Bernal X.E.,Journal of Experimental Biology,2023,https://doi.org/10.1242/jeb.245359,Female,Lab,Sweep,50-4000 (200 Hz bin),LDV,Tungsten,Antennal_nerve_bundle,Active quiescent,250,250,,,Virgin,
Cx. pipiens,Culex,pipiens,Effect of Octopamine on the Frequency Tuning of the Auditory System in Culex Pipiens Pipiens Mosquito (Diptera Culicidae),Vorontsov D.D.; Lapshin D.N.,Neuroscience and Behavioral Physiology,2024,https://doi.org/10.1007/s11055-024-01600-2,Male,Lab,Sweep,100-550,,Borosilicate glass microelectrode,Antennal_nerve_bundle,Active quiescent,200,200,,,,				
Cx. pipiens,Culex,pipiens,Effect of Octopamine on the Frequency Tuning of the Auditory System in Culex Pipiens Pipiens Mosquito (Diptera Culicidae),Vorontsov D.D.; Lapshin D.N.,Neuroscience and Behavioral Physiology,2024,https://doi.org/10.1007/s11055-024-01600-2,Female,Lab,Sweep,40-300,,Borosilicate glass microelectrode,Antennal_nerve_bundle,Active quiescent,,,,,,						
