Group,Genus,Species,Paper,Authors,Journal,Peer_reviewed,Year,Link,Sex,Experiment_location,Stimulus,Stimulus_fq_range,Tool_MT,Laser_focus_point..top.to.bottom.,Mechanical_State,Mechanical_tuning_fq,Mechanical.Tuning.Frequency..Hz.,Tuning_sharpness_Q,v_vib_.v_air..relative.vibrational.velocity..or..df.dp..mechanical.sensitivity.,Age,Mating_status,Experimental_time,Temperature,Temp_data
Ae. aegypti,Aedes,aegypti,Sex and species specific hearing mechanisms in mosquito flagellar ears,Su M.P.; Andrés M.; Boyd-Gibbins N.; Somers J.; Albert J.T.,Nature Communications,Y,2018,https://doi.org/10.1038/s41467-018-06388-7,Male,Lab,Unstimulated,,LDV,2,Active quiescent,522.69 +/- 11.1 (median +/- SE),522.69,26.8,,3_8,Virgin,ZT10,22,Y
Ae. aegypti,Aedes,aegypti,Sex and species specific hearing mechanisms in mosquito flagellar ears,Su M.P.; Andrés M.; Boyd-Gibbins N.; Somers J.; Albert J.T.,Nature Communications,Y,2018,https://doi.org/10.1038/s41467-018-06388-7,Male,Lab,Unstimulated,,LDV,2,Passive sedation,297.99 +/- 11.9 (median +/- SE),297.99,0.94,,3_8,Virgin,ZT10,22,Y
Ae. aegypti,Aedes,aegypti,Sex and species specific hearing mechanisms in mosquito flagellar ears,Su M.P.; Andrés M.; Boyd-Gibbins N.; Somers J.; Albert J.T.,Nature Communications,Y,2018,https://doi.org/10.1038/s41467-018-06388-7,Male,Lab,Unstimulated,,LDV,2,Passive pymetrozine,292.67 +/- 11.49 (median +/- SE),292.67,1.27,,3_8,Virgin,ZT10,22,Y
Ae. aegypti,Aedes,aegypti,Sex and species specific hearing mechanisms in mosquito flagellar ears,Su M.P.; Andrés M.; Boyd-Gibbins N.; Somers J.; Albert J.T.,Nature Communications,Y,2018,https://doi.org/10.1038/s41467-018-06388-7,Female,Lab,Unstimulated,,LDV,3,Active quiescent,203.06 +/- 2.22 (median +/- SE),203.06,3.32,,3_8,Virgin,ZT10,22,Y
Ae. aegypti,Aedes,aegypti,Sex and species specific hearing mechanisms in mosquito flagellar ears,Su M.P.; Andrés M.; Boyd-Gibbins N.; Somers J.; Albert J.T.,Nature Communications,Y,2018,https://doi.org/10.1038/s41467-018-06388-7,Female,Lab,Unstimulated,,LDV,3,Passive sedation,207.47 +/- 3.99 (median +/- SE),207.47,1.04,,3_8,Virgin,ZT10,22,Y
Ae. aegypti,Aedes,aegypti,Sex and species specific hearing mechanisms in mosquito flagellar ears,Su M.P.; Andrés M.; Boyd-Gibbins N.; Somers J.; Albert J.T.,Nature Communications,Y,2018,https://doi.org/10.1038/s41467-018-06388-7,Female,Lab,Unstimulated,,LDV,3,Passive pymetrozine,210.21 +/- 3.57 (median +/- SE),210.21,1.31,,3_8,Virgin,ZT10,22,Y
Ae. aegypti,Aedes,aegypti,Mosquito hearing: sound-induced antennal vibrations in male and female Aedes aegypti,Göpfert M.C.; Briegel H.; Robert D.,Journal of Experimental Biology,Y,1999,https://doi.org/10.1242/jeb.202.20.2727,Male,Lab,White noise,100-3100,LDV,3,Active quiescent,383 +/- 28 (MEAN +/- SD),383,2.4,3,3_4,Virgin,,22.5,Y
Ae. aegypti,Aedes,aegypti,Mosquito hearing: sound-induced antennal vibrations in male and female Aedes aegypti,Göpfert M.C.; Briegel H.; Robert D.,Journal of Experimental Biology,Y,1999,https://doi.org/10.1242/jeb.202.20.2727,Female,Lab,White noise,100-3100,LDV,3,Active quiescent,229 +/- 17 (MEAN +/- SD),229,2.1,2.1,3_4,Virgin,,22.5,Y
Ae. aegypti,Aedes,aegypti,Chordotonal organ mechanosensory pathways as potential targets for the control of mosquito borne diseases,Su M.P.,Thesis,N,2017,https://discovery.ucl.ac.uk/id/eprint/1542425/,Male,Lab,Sweep,15-695 Hz (10 Hz),LDV,2,Active quiescent,360 +/- 12.31 (MEDIAN +/- SE),360,,,3_8,Virgin,ZT10,21.5,Y
Ae. aegypti,Aedes,aegypti,Chordotonal organ mechanosensory pathways as potential targets for the control of mosquito borne diseases,Su M.P.,Thesis,N,2017,https://discovery.ucl.ac.uk/id/eprint/1542425/,Female,Lab,Sweep,15-695 Hz (10 Hz),LDV,3,Active quiescent,195 +/- 5.49 (MEDIAN +/- SE),195,,,3_8,Virgin,ZT10,21.5,Y
Ae. aegypti,Aedes,aegypti,Serotonin modulation in the male Aedes aegypti ear influences hearing,Xu Y.Y.J.; Loh Y.M.; Lee T.T.; Ohashi T.S.; Su M.P.; Kamikouchi A.,Frontiers in Physiology,Y,2022,https://doi.org/10.3389/fphys.2022.931567,Male,Lab,White noise,,LDV,tip,Active quiescent,455.9 +/- 59.0 (mean +/- SD),457.8,,,,Virgin,ZT12-14,28,Y
Ae. aegypti,Aedes,aegypti,Serotonin modulation in the male Aedes aegypti ear influences hearing,Xu Y.Y.J.; Loh Y.M.; Lee T.T.; Ohashi T.S.; Su M.P.; Kamikouchi A.,Frontiers in Physiology,Y,2022,https://doi.org/10.3389/fphys.2022.931567,Female,Lab,White noise,,LDV,tip,Active quiescent,240.6 +/- 20.4 (mean +/- SD),240.6,,,,Virgin,ZT12-14,28,Y
Ae. aegypti,Aedes,aegypti,Differences in male Aedes aegypti and Aedes albopictus hearing systems facilitate recognition of conspecific female flight tones,Loh Y.M.; Xu Y.Y.J.; Lee T.T.; Ohashi T.S.; Zhang Y.D.; Eberl D.F.; Su M.P.;Kamikouchi A.,iScience,Y,2024,https://doi.org/10.1016/j.isci.2024.110264,Male,Lab,White noise,,LDV,tip,Active quiescent,465.1 +/- 35.2 (mean +/- SD),465.1,,,,Virgin,ZT12-14,28,Y
Ae. aegypti,Aedes,aegypti,Differences in male Aedes aegypti and Aedes albopictus hearing systems facilitate recognition of conspecific female flight tones,Loh Y.M.; Xu Y.Y.J.; Lee T.T.; Ohashi T.S.; Zhang Y.D.; Eberl D.F.; Su M.P.;Kamikouchi A.,iScience,Y,2024,https://doi.org/10.1016/j.isci.2024.110264,Female,Lab,White noise,,LDV,tip,Active quiescent,247.6 +/- 11.6 (mean +/- SD),247.6,,,,Virgin,ZT12-14,28,Y
Ae. albopictus,Aedes,albopictus,Differences in male Aedes aegypti and Aedes albopictus hearing systems facilitate recognition of conspecific female flight tones,Loh Y.M.; Xu Y.Y.J.; Lee T.T.; Ohashi T.S.; Zhang Y.D.; Eberl D.F.; Su M.P.;Kamikouchi A.,iScience,Y,2024,https://doi.org/10.1016/j.isci.2024.110264,Male,Lab,White noise,,LDV,tip,Active quiescent,508.4 +/- 33.0 (mean +/- SD),508.4,,,,Virgin,ZT12-14,28,Y
Ae. albopictus,Aedes,albopictus,Differences in male Aedes aegypti and Aedes albopictus hearing systems facilitate recognition of conspecific female flight tones,Loh Y.M.; Xu Y.Y.J.; Lee T.T.; Ohashi T.S.; Zhang Y.D.; Eberl D.F.; Su M.P.;Kamikouchi A.,iScience,Y,2024,https://doi.org/10.1016/j.isci.2024.110264,Female,Lab,White noise,,LDV,tip,Active quiescent,231.0 +/- 14.3 (mean +/- SD),231,,,,Virgin,ZT12-14,28,Y
Ae. togoi,Aedes,togoi,Making waves: The use of sound by a mosquito and three moth species,Hart M.,Thesis,N,2012,https://summit.sfu.ca/_flysystem/fedora/sfu_migrate/13647/etd7352_MHart.pdf,Male,Lab,Sweep,100-1000,LDV,base,Active quiescent,385 +/- 81 (mean +/- SD),385,2.10 +/- 0.74 (mean +/- SD),,,Virgin,ZT12,24.5,Y
Ae. togoi,Aedes,togoi,Making waves: The use of sound by a mosquito and three moth species,Hart M.,Thesis,N,2012,https://summit.sfu.ca/_flysystem/fedora/sfu_migrate/13647/etd7352_MHart.pdf,Male,Lab,Sweep,100-1000,LDV,base,Active quiescent,309 +/- 47 (mean +/- SD),309,2.66 +/- 0.54 (mean +/- SD),,,Virgin,Non-swarming,24.5,Y
Ae. togoi,Aedes,togoi,Making waves: The use of sound by a mosquito and three moth species,Hart M.,Thesis,N,2012,https://summit.sfu.ca/_flysystem/fedora/sfu_migrate/13647/etd7352_MHart.pdf,Female,Lab,Sweep,100-1000,LDV,base,Active quiescent,252 +/- 48 (mean +/- SD),252,3.98 +/- 2.00 (mean +/- SD),,,Virgin,ZT12,24.5,Y
Ae. togoi,Aedes,togoi,Making waves: The use of sound by a mosquito and three moth species,Hart M.,Thesis,N,2012,https://summit.sfu.ca/_flysystem/fedora/sfu_migrate/13647/etd7352_MHart.pdf,Female,Lab,Sweep,100-1000,LDV,base,Active quiescent,257 +/- 53 (mean +/- SD),257,3.68 +/- 0.63 (mean +/- SD),,,Virgin,Non-swarming,24.5,Y
An. arabiensis,Anopheles,arabiensis,"Material, acoustic, and mechanical properties of mosquito and midge antennae",Saltin B.,Thesis,N,2020,https://doi.org/10.48730/n7s0-3093,Male,Lab,Unstimulated,,LDV,,Active SSO,372 ± 15 (median +/- SD),372,154 ±42 (median +/- SD),,,Virgin,,0,N
An. coluzzi,Anopheles,coluzzi,“Singing on the Wing” as a Mechanism for Species Recognition in the Malarial Mosquito Anopheles gambiae,Pennetier C.; Warren B.; Dabiré K.R.; Russell I.J.; Gibson G.,Current Biology,Y,2010,https://doi.org/10.1016/j.cub.2009.11.040,Male,Lab,Sweep,"100-5000 (10, 20, 30… 100, 200, 300…., 1000, 2000, 3000, 4000, 5000)",Laser Diode Interferometer,base,Active quiescent,235 +/- 14 (mean +/- SD),235,,,,Virgin,,0,N
An. coluzzi,Anopheles,coluzzi,“Singing on the Wing” as a Mechanism for Species Recognition in the Malarial Mosquito Anopheles gambiae,Pennetier C.; Warren B.; Dabiré K.R.; Russell I.J.; Gibson G.,Current Biology,Y,2010,https://doi.org/10.1016/j.cub.2009.11.040,Male,Lab,Sweep,"100-5000 (10, 20, 30… 100, 200, 300…., 1000, 2000, 3000, 4000, 5000)",Laser Diode Interferometer,base,Active SSO,540 +/- 45 (mean +/- SD),540,,,,Virgin,,0,N
An. coluzzi,Anopheles,coluzzi,“Singing on the Wing” as a Mechanism for Species Recognition in the Malarial Mosquito Anopheles gambiae,Pennetier C.; Warren B.; Dabiré K.R.; Russell I.J.; Gibson G.,Current Biology,Y,2010,https://doi.org/10.1016/j.cub.2009.11.040,Female,Lab,Sweep,"100-5000 (10, 20, 30… 100, 200, 300…., 1000, 2000, 3000, 4000, 5000)",Laser Diode Interferometer,base,Active quiescent,209 +/- 33 (mean +/- SD),209,,,,Virgin,,0,N
An. gambiae,Anopheles,gambiae,Sex and species specific hearing mechanisms in mosquito flagellar ears,Su M.P.; Andrés M.; Boyd-Gibbins N.; Somers J.; Albert J.T.,Nature Communications,Y,2018,https://doi.org/10.1038/s41467-018-06388-7,Male,Lab,Unstimulated,,LDV,2,Active quiescent,506.62 +/- 9.03 (median +/- SE),506.62,21.59,,3_8,Virgin,ZT10,22,Y
An. gambiae,Anopheles,gambiae,Sex and species specific hearing mechanisms in mosquito flagellar ears,Su M.P.; Andrés M.; Boyd-Gibbins N.; Somers J.; Albert J.T.,Nature Communications,Y,2018,https://doi.org/10.1038/s41467-018-06388-7,Male,Lab,Unstimulated,,LDV,2,Passive sedation,283.68 +/- 5.69 (median +/- SE),283.68,0.91,,3_8,Virgin,ZT10,22,Y
An. gambiae,Anopheles,gambiae,Sex and species specific hearing mechanisms in mosquito flagellar ears,Su M.P.; Andrés M.; Boyd-Gibbins N.; Somers J.; Albert J.T.,Nature Communications,Y,2018,https://doi.org/10.1038/s41467-018-06388-7,Male,Lab,Unstimulated,,LDV,2,Passive pymetrozine,319.12 +/- 10.65 (median +/- SE),319.12,1.66,,3_8,Virgin,ZT10,22,Y
An. gambiae,Anopheles,gambiae,Sex and species specific hearing mechanisms in mosquito flagellar ears,Su M.P.; Andrés M.; Boyd-Gibbins N.; Somers J.; Albert J.T.,Nature Communications,Y,2018,https://doi.org/10.1038/s41467-018-06388-7,Female,Lab,Unstimulated,,LDV,3,Active quiescent,219.7 +/- 3.55 (median +/- SE),219.7,1.19,,3_8,Virgin,ZT10,22,Y
An. gambiae,Anopheles,gambiae,Sex and species specific hearing mechanisms in mosquito flagellar ears,Su M.P.; Andrés M.; Boyd-Gibbins N.; Somers J.; Albert J.T.,Nature Communications,Y,2018,https://doi.org/10.1038/s41467-018-06388-7,Female,Lab,Unstimulated,,LDV,3,Passive sedation,325 +/- 7.44 (median +/- SE),325,0.67,,3_8,Virgin,ZT10,22,Y
An. gambiae,Anopheles,gambiae,Sex and species specific hearing mechanisms in mosquito flagellar ears,Su M.P.; Andrés M.; Boyd-Gibbins N.; Somers J.; Albert J.T.,Nature Communications,Y,2018,https://doi.org/10.1038/s41467-018-06388-7,Female,Lab,Unstimulated,,LDV,3,Passive pymetrozine,305.99 +/- 7.07 (median +/- SE),305.99,0.94,,3_8,Virgin,ZT10,22,Y
An. gambiae,Anopheles,gambiae,Chordotonal organ mechanosensory pathways as potential targets for the control of mosquito borne diseases,Su M.P.,Thesis,N,2017,https://discovery.ucl.ac.uk/id/eprint/1542425/,Male,Lab,Sweep,15-695 Hz (10 Hz),LDV,2,Active quiescent,325 +/- 4.36 (MEDIAN +/- SE),325,,,3_8,Virgin,ZT10,21.5,Y
An. gambiae,Anopheles,gambiae,Chordotonal organ mechanosensory pathways as potential targets for the control of mosquito borne diseases,Su M.P.,Thesis,N,2017,https://discovery.ucl.ac.uk/id/eprint/1542425/,Female,Lab,Sweep,15-695 Hz (10 Hz),LDV,3,Active quiescent,205 +/- 7.51 (MEDIAN +/- SE),205,,,3_8,Virgin,ZT10,21.5,Y
An. gambiae,Anopheles,gambiae,Hearing of malaria mosquitoes is modulated by a beta-adrenergic-like octopamine receptor which serves as insecticide target,Georgiades M.; Alampounti A.; Somers J.; Su M.P.; Ellis D.A.; Bagi J.; Terrazas-Duque D.; Tytheridge S.; Ntabaliba W.; Moore S.; Albert J.T.; Andrés M.,Nature Communications,Y,2023,https://doi.org/10.1038/s41467-023-40029-y,Male,Lab,Sweep,1-1000 ,LDV,,Active SSO,363 (median),363,,,,Virgin,ZT4,22,Y
An. gambiae,Anopheles,gambiae,Hearing of malaria mosquitoes is modulated by a beta-adrenergic-like octopamine receptor which serves as insecticide target,Georgiades M.; Alampounti A.; Somers J.; Su M.P.; Ellis D.A.; Bagi J.; Terrazas-Duque D.; Tytheridge S.; Ntabaliba W.; Moore S.; Albert J.T.; Andrés M.,Nature Communications,Y,2023,https://doi.org/10.1038/s41467-023-40029-y,Male,Lab,Sweep,1-1000 ,LDV,,Active SSO,356 (median),356,,,,Virgin,ZT12,22,Y
An. gambiae,Anopheles,gambiae,Hearing of malaria mosquitoes is modulated by a beta-adrenergic-like octopamine receptor which serves as insecticide target,Georgiades M.; Alampounti A.; Somers J.; Su M.P.; Ellis D.A.; Bagi J.; Terrazas-Duque D.; Tytheridge S.; Ntabaliba W.; Moore S.; Albert J.T.; Andrés M.,Nature Communications,Y,2023,https://doi.org/10.1038/s41467-023-40029-y,Male,Lab,Unstimulated,1-1000 ,LDV,,Active SSO,355 (median),355,3,,,Virgin,ZT4,22,Y
An. gambiae,Anopheles,gambiae,Hearing of malaria mosquitoes is modulated by a beta-adrenergic-like octopamine receptor which serves as insecticide target,Georgiades M.; Alampounti A.; Somers J.; Su M.P.; Ellis D.A.; Bagi J.; Terrazas-Duque D.; Tytheridge S.; Ntabaliba W.; Moore S.; Albert J.T.; Andrés M.,Nature Communications,Y,2023,https://doi.org/10.1038/s41467-023-40029-y,Male,Lab,Unstimulated,1-1000 ,LDV,,Active SSO,344 (median),344,2.9,,,Virgin,ZT12,22,Y
An. gambiae,Anopheles,gambiae,"Material, acoustic, and mechanical properties of mosquito and midge antennae",Saltin B.,Thesis,N,2020,https://doi.org/10.48730/n7s0-3093,Male,Lab,Unstimulated,,LDV,,Active SSO,379 ± 25 (median +/- SD),379,312 ± 193 (median +/- SD),,,Virgin,,0,N
Cx. pipiens,Culex,pipiens,Sex Recognition through Midflight Mating Duets in Culex Mosquitoes Is Mediated by Acoustic Distortion,Warren B.; Gibson G; Russell I.J.,Current Biology,Y,2009,https://doi.org/10.1016/j.cub.2009.01.059,Female,Lab,Sweep,"100-2000 (10, 20, 30… 100, 200, 300…., 1000, 2000)",Laser Diode Interferometer,base,Active quiescent,307 +/- 8 Hz (mean +/- SD),307,1.38 +/- 0.27 (mean +/- SD),,4_7,Virgin,ZT12-14,0,N
Cx. pipiens,Culex,pipiens,Sex Recognition through Midflight Mating Duets in Culex Mosquitoes Is Mediated by Acoustic Distortion,Warren B.; Gibson G; Russell I.J.,Current Biology,Y,2009,https://doi.org/10.1016/j.cub.2009.01.059,Male,Lab,Sweep,"100-2000 (10, 20, 30… 100, 200, 300…., 1000, 2000)",Laser Diode Interferometer,base,Active quiescent,328 +/- 3 (mean +/- SD),328,1.92 +/- 0.32 (mean +/- SD),,4_7,Virgin,ZT12-14,0,N
Cx. quinquefasciatus,Culex,quinquefasciatus,Sex and species specific hearing mechanisms in mosquito flagellar ears,Su M.P.; Andrés M.; Boyd-Gibbins N.; Somers J.; Albert J.T.,Nature Communications,Y,2018,https://doi.org/10.1038/s41467-018-06388-7,Male,Lab,Unstimulated,,LDV,2,Active quiescent,485.4 +/- 7.03 (median +/- SE),485.4,17.77,,3_8,Virgin,ZT10,22,Y
