Group,Genus,Species,Paper,Authors,Journal,Year,Link,Sex,Experiment_location,Stimuli_type,Frequency,Amplitude,Stimulus_duration,Scoring_method,Trap_brand,Control_used,Response,Number_of_replicate,No_of_indiv_per_replicate,Group_Individual,Rearing_temperature,Experimental_time,Circadian_LD_entrainment_cycle,Age,Mating_status,Size_Larval_Density
Cx. bitaeniorhynchus,Culex,bitaeniorhynchus,"Mosquitoes and frog-biting midges (Diptera: Culicidae and Corethrellidae) attracted to traps with natural frog calls and synthesized sounds at Iriomote Island, Ryukyu Archipelago, Japan",Toma T.; Takara T.; Miyagi I.; Futami K.; Higa Y.,Medical Entomology and Zoology,2019,https://doi.org/10.7601/mez.70.221,Female,Field,Pure tone,1000,62.4-80 dB (1m away from speaker),12 h,Attraction,CDC minature light trap + speaker,CDC miniature light trap (without speaker),11 females,,,,,7pm-7am,,,,
Cx. molestus,Culex,molestus,Acoustic attraction of male mosquitos in a cage,Ikeshoji T.,Medical Entomology and Zoology,1981,https://doi.org/10.7601/mez.32.7,Male,Lab,Pure tone,370,10 dB ,"17 mins sounding, 48 times/day for 4-5 days",Attraction,sound trap,,8.7 % of males relative to females were left in the cage after 4-5 days of acoustic extraction,100,,Group,25,-,14 L:10 D,,,
Cx. nigropunctatus,Culex,nigropunctatus,"Mosquitoes and frog-biting midges (Diptera: Culicidae and Corethrellidae) attracted to traps with natural frog calls and synthesized sounds at Iriomote Island, Ryukyu Archipelago, Japan",Toma T.; Takara T.; Miyagi I.; Futami K.; Higa Y.,Medical Entomology and Zoology,2019,https://doi.org/10.7601/mez.70.221,Female,Field,"Mixed frog call, Pure tone","Dominant frequency in spectrum of frog call sound, call duration, call rate (call/min) for 8 species of frogs: F. sakishimensis=1,037 Hz, 0.4 s, about 100; M. okinavensis 2,572 Hz, 0.5 s, 36; R. okinavana=1,283 Hz, 0.56 s, 23; R. owstoni=1,386 Hz, 3.45 s, 8; O. supranarina=3,864 Hz, 0.02 s, 22; K. eingeri=2,652 Hz, 0.15 s, 16; H. hallowellii=3,794 Hz, 0.29 s, 9; and B. japonica=3,194 Hz, 0.49 s, 19, 1000Hz Pure tone",62.4-80 dB (1m away from speaker),12 h,Attraction,CDC minature light trap + speaker,CDC miniature light trap (without speaker),"20 females, 8 females",,,,,7pm-7am,,,,
Cx. quinquefasciatus,Culex,quinquefasciatus,"Monitoring and Chemosterilization of a Mosquito Population, Culex quinquefasciatus (Diptera: Culicidae) by Sound Traps",Ikeshoji T.; Yap H.H.,Applied Entomology and Zoology,1987,https://doi.org/10.1303/aez.22.474,Male,Field,Pure tone,400,,20 min continuously,Attraction,sound trap + black cloth,-,"55.8 males/ trap, day",20,,,,dusk (50 mins after sunset),,,,
Cx. quinquefasciatus,Culex,quinquefasciatus,Outcomes from international field trials with Male Aedes Sound Traps: Frequency-dependent effectiveness in capturing target species in relation to bycatch abundance,Staunton K.M.; Leiva D.; Cruz A.; Goi J.; Arisqueta C.; Liu J.; Desnoyer M.; Howell P.; Espinosa F.; Mendoza A.C.; Karl S.; Crawford J.E.; Xiang W.; Manrique-Saide P.; Achee N.L.; Grieco J.P.; Ritchie S.A.; Burkot T.R.; Snoad N.,PLoS Neglected Tropical Diseases,2021,https://doi.org/10.1371/journal.pntd.0009061,Male,Field,Pure tone,"450, 500, 550, 600",60 dB (trap entrance),30s on/off continuously,Attraction,MAST sticky trap,BGS trap without sound,"450Hz: 24.34%, 500Hz: 20.94%, 550Hz: 0.88%, 600 Hz: 0 (total- male mosquitoes caught: 678)",-,-,,-,24 hrs,,,,
Cx. tarsalis,Culex,tarsalis,Age structure and mating status of the male mosquitoes responding to sound,Ikeshoji T.,Medical Entomology and Zoology,1985,https://doi.org/10.7601/mez.36.95,Male,Field,Pure tone,370 / 400,100 dB (0 cm away from speaker),continuous sound emission,Attraction,sound trap,-,240 males/day,-,-,,,dusk,,,,
Cx. tarsalis,Culex,tarsalis,Removal sampling of male mosquitoes from field populations by sound-trapping,Ikeshoji T.; Sakakibara M.; Reisen W.K.,Medical Entomology and Zoology,1985,https://doi.org/10.7601/mez.36.197,Male,Field,Pure tone,370,100 dB (0 cm away from speaker),5 s of sound with 15s intervals,Attraction,sound trap + black cloth,-,males collected: 98 - 100 % of total mosquitoes trapped,13,-,,,dusk,,,,
Cx. territans,Culex,territans,Phonotaxis to Amphibian Vocalizations in Culex territans (Diptera: Culicidae),Bartlett-Healy K.; Crans W.; Gaugler R.,Annals of the Entomological Society of America,2008,https://doi.org/10.1603/0013-8746(2008)101[95:PTAVIC]2.0.CO;2,Female,Field,"Frog call (Pseudacris crucifer, Hyla versicolor, Bufo americanus, Rana clamitans, Rana catesbeiana, Rana sylvatica)",,80 +/- 2 dB,15 min,Attraction,Sound trap,Trap without sound,"16.5 females, 12, 12, 11.5, 9.5, 8",,,Group,,,,7_8,,
Cx. tritaeniorhynchus,Culex,tritaeniorhynchus,Age structure and mating status of the male mosquitoes responding to sound,Ikeshoji T.,Medical Entomology and Zoology,1985,https://doi.org/10.7601/mez.36.95,Male,Field,Pure tone,370 / 400,100 dB (0 cm away from speaker),continuous sound emission,Attraction,sound trap,-,68 males/day,-,-,,,dusk,,,,
Cx. tritaeniorhynchus,Culex,tritaeniorhynchus,"Distribution of the mosquitoes, Culex tritaeniorhynchus, in relation to disposition of sound traps in a paddy field",Ikeshojji T.,Medical Entomology and Zoology,1986,https://doi.org/10.7601/mez.37.153,Male,Field,Pure tone,370,100-110 dB (0 cm away from speaker),20 mins repeated cycles of 6 secs of sound emission and 5 secs of silence,Attraction,sound trap + black cloth,-,"20,141 males captured in 11 days (147 males/day)",11,-,,,dusk (1940-2000 hrs),,,,
Cx. tritaeniorhynchus,Culex,tritaeniorhynchus,Field catching of mosquitoes with various types of sound traps,Ikeshoji T.; Ogawa K.,Medical Entomology and Zoology,1988,https://doi.org/10.7601/mez.39.119,Male,Field,Pure tone,400,90 dB (1 cm away from speaker),20 mins continuous stimulus,Attraction,sound trap,-,249.6 males/day,5,-,,,0.8125,,,,
Cx. tritaeniorhynchus,Culex,tritaeniorhynchus,Removal sampling of male mosquitoes from field populations by sound-trapping,Ikeshoji T.; Sakakibara M.; Reisen W.K.,Medical Entomology and Zoology,1985,https://doi.org/10.7601/mez.36.197,Male,Field,Pure tone,370,100 dB (0 cm away from speaker),5 s of sound with 15s intervals,Attraction,sound trap + black cloth,-,males collected: 86-99 % of total mosquitoes trapped,2,-,,,dusk,,,,
Cx. tritaeniorhynchus,Culex,tritaeniorhynchus,Response of female mosquitoes of Culex tritaeniorhynchus to sound traps of various wingbeat frequencies with hamsters and dry ice,Leemingsawat S.;  Kerdpubile V.; Limswan S.; Sucharit S.; Ogawa K.; Kanda T.,Medical Entomology and Zoology,1988,https://doi.org/10.7601/mez.39.67,Female,Field,Pure tone,"300, 350, 400, 450, 500, 550, 600, 700, 800, 1000",,,Attraction,Sound trap,Trap without sound,"0, 0, 0, 5.084, 10.169, 16.949, 45.763, 20.339, 0, 1.694",,,,,,,,,
Mansonia,Mansonia,Mansonia,Field study on acoustic trapping of Mansonia (Diptera: Culicidae) in Malaysia I. Mass -Trapping of Males by a Cylindrical Sound Trap,Ogawa K.,Applied Entomology and Zoology,1988,https://doi.org/10.1303/aez.23.265,Male,Field,Pure tone,350,100 dB (in front of speaker),"10 s on, 5 s off for 1.5 hrs",Attraction,sund trap + guinea pig + dry ice (CO2),trap with no speaker,468.0 ± 160.0 males,5,-,,24.5,dusk,,,,
Mi. luzonensis,Mimomyia,luzonensis,"Culicid and Chaoborid flies (Diptera: Culicidae and Chaoboridae) attracted to a CDC miniature frog call trap at Iriomote Island, the Ryukyu Archipelago, Japan",Toma T.; Miyagi I.; Higa Y.; Okazawa T.; Sasaki H.,Medical Entomology and Zoology,2005,https://doi.org/10.7601/mez.56.65_1,Female,Field,"Frog call (Hyla hallowellii, Rhacophorus owstoni, Chirixalus eiffingeri, Buergeria japonica, Microhyla ornate, Rana limnocharis, Rana narina and Rana psaltes)",,,12 h continuously,,CDC minature light trap + speaker,CDC minature light trap,39 females (6 days),-,-,,,7pm-7am,,,,
Or. anopheloides,Orthopodomyia,anopheloides,"Mosquitoes and frog-biting midges (Diptera: Culicidae and Corethrellidae) attracted to traps with natural frog calls and synthesized sounds at Iriomote Island, Ryukyu Archipelago, Japan",Toma T.; Takara T.; Miyagi I.; Futami K.; Higa Y.,Medical Entomology and Zoology,2019,https://doi.org/10.7601/mez.70.221,Female,Field,"Mixed frog call, Pure tone","Dominant frequency in spectrum of frog call sound, call duration, call rate (call/min) for 8 species of frogs: F. sakishimensis=1,037 Hz, 0.4 s, about 100; M. okinavensis 2,572 Hz, 0.5 s, 36; R. okinavana=1,283 Hz, 0.56 s, 23; R. owstoni=1,386 Hz, 3.45 s, 8; O. supranarina=3,864 Hz, 0.02 s, 22; K. eingeri=2,652 Hz, 0.15 s, 16; H. hallowellii=3,794 Hz, 0.29 s, 9; and B. japonica=3,194 Hz, 0.49 s, 19, 1000Hz Pure tone",62.4-80 dB (1m away from speaker),12 h,Attraction,CDC minature light trap + speaker,CDC miniature light trap (without speaker),"26 females, 10 females",-,-,,,7pm-7am,,,,
Ps. columbiae,Psorophora,columbiae,Effects of Sound on Swarming Male Psorophora columbiae,Peloquin J.J.; Olson J.K.,Journal of the American Mosquito Control Association,1986,https://pubmed.ncbi.nlm.nih.gov/2906987/,Male,Field,Pure tone,"100, 120, 140, 200, 250, 260, 275, 300, 350, 360, 400, 425, 510, 550","100 Hz: 43 (dB), 250 Hz: 63, 265: 63, 275: 62, 300: 61, 500: 67 (1m away from the speaker)",5 s ON/OFF,males that showed abrupt changes in flight speed/direction upon acoustic stimulation,,,"100 Hz: 0 (% of swarming males responded), 120 Hz: 0, 140 Hz: 0, 200 Hz: 7, 250 Hz: 81, 260 Hz: 96, 275 Hz: 96, 300 Hz: 100, 350 Hz: 0, 360 Hz: 0, 400 Hz: 65, 425 Hz: 100, 510 Hz: 0, 550 Hz: 0",,,,,dusk (swarming period),,,,
Ur. annandalei,Uranotaenia,annandalei,"Within host acoustic signal preference of frog?biting mosquitoes (Diptera: Culicidae) and midges (Diptera: Corethrellidae) on Iriomote Island, Japan",Legett H.D.; Aihara I.; Ximean E.B.,Entomological Science,2018,https://doi.org/10.1111/ens.12455,Female,Field,Frog call (dominant frequency: 1. 8 kHz and 3 kHz),,80 dB (1m from speaker),one call/2s for 45 min,,CDC minature light trap + speaker,CDC minature light trap,"12 females (30 trials), 5 females (30 trials)",,,,,30 min after dusk,,,,
Ur. lowii,Uranotaenia,lowii,Attraction of female Uranotaenia lowii (Diptera: Culicidae) to frog calls in Costa Rica,Borkent A.; Belton P.,The Canadian Entomologist,2012,https://doi.org/10.4039/n04-113,Female,Field,Frog call (Hyla gratiosa),Dominant frequency: 450 Hz,80 dB,"once/second, 0.15s",Attraction,Sound trap,Trap without sound,79 females,,,,,,,,,
Ur. lowii,Uranotaenia,lowii,"Attraction of Uranotaenia lowii (Diptera: Culicidae) to singing frogs (Amphibia: Anura) sounds in Tabasco, Mexico",Méndez-López R.; Castillo-Martínez A.; Covarrubias-Castro J.L.; Siller-Rodríguez Q.K.; Cueto-Medina S.M.; Ortega-Morales A.I.,Entomología Mexicana,2015,https://www.academia.edu/32024387/Attraction_of_female_Uranotaenia_lowii_Diptera_Culicidae_to_frog_calls_in_Costa_Rica,Female,Field,Frog call,-,50 dB,"4-5 h continuously playing, for two days",Attraction,CDC minature light trap + speaker,CDC minature light trap,39 females,,,,,,,,,
Ur. lowii,Uranotaenia,lowii,Tiny spies: mosquito antennae are sensitive sensors for eavesdropping on frog calls,Pantoja-Sánchez H.; Leavell B.C.; Rendon B.; P. de-Silva W.A.P.; Singh R.; Zhou J.; Menda G.; Hoy R.R.; Miles R.N.; Sanscrainte N.D.; Bernal X.E.,Journal of Experimental Biology,2023,https://doi.org/10.1242/jeb.245359,Female,Lab,Frog call (Dryophytes gratiosus/Hyla gratiosa),,90 dB (50 cm away from speaker),15 mins,Attraction,Speaker,Speaker without sound,50,18,10,Group,,,,10.5,Virgin,
Ur. macfarlanei,Uranotaenia,macfarlanei,"Culicid and Chaoborid flies (Diptera: Culicidae and Chaoboridae) attracted to a CDC miniature frog call trap at Iriomote Island, the Ryukyu Archipelago, Japan",Toma T.; Miyagi I.; Higa Y.; Okazawa T.; Sasaki H.,Medical Entomology and Zoology,2005,https://doi.org/10.7601/mez.56.65_1,Female,Field,"Frog call (Hyla hallowellii, Rhacophorus owstoni, Chirixalus eiffingeri, Buergeria japonica, Microhyla ornate, Rana limnocharis, Rana narina and Rana psaltes)",,,12 h continuously,,CDC minature light trap + speaker,CDC minature light trap,580 females (6 days),,,,,7pm-7am,,,,
Ur. macfarlanei,Uranotaenia,macfarlanei,"Mosquitoes and frog-biting midges (Diptera: Culicidae and Corethrellidae) attracted to traps with natural frog calls and synthesized sounds at Iriomote Island, Ryukyu Archipelago, Japan",Toma T.; Takara T.; Miyagi I.; Futami K.; Higa Y.,Medical Entomology and Zoology,2019,https://doi.org/10.7601/mez.70.221,Female,Field,"Mixed frog call, Pure tone","Dominant frequency in spectrum of frog call sound, call duration, call rate (call/min) for 8 species of frogs: F. sakishimensis=1,037 Hz, 0.4 s, about 100; M. okinavensis 2,572 Hz, 0.5 s, 36; R. okinavana=1,283 Hz, 0.56 s, 23; R. owstoni=1,386 Hz, 3.45 s, 8; O. supranarina=3,864 Hz, 0.02 s, 22; K. eingeri=2,652 Hz, 0.15 s, 16; H. hallowellii=3,794 Hz, 0.29 s, 9; and B. japonica=3,194 Hz, 0.49 s, 19, 1000Hz Pure tone",62.4-80 dB (1m away from speaker),12 h,Attraction,CDC minature light trap + speaker,CDC miniature light trap (without speaker),"1934 females, 501 females",,,,,7pm-7am,,,,
Ur. macfarlanei,Uranotaenia,macfarlanei,"Within host acoustic signal preference of frog?biting mosquitoes (Diptera: Culicidae) and midges (Diptera: Corethrellidae) on Iriomote Island, Japan",Legett H.D.; Aihara I.; Ximean E.B.,Entomological Science,2018,https://doi.org/10.1111/ens.12455,Female,Field,Frog call (dominant frequency: 1. 8 kHz and 3 kHz),,80 dB (1m from speaker),one call/2s for 45 min,,CDC minature light trap + speaker,CDC minature light trap,"65 females (30 trials), 6 females (30 trials)",,,,,30 min after dusk,,,,
Ur. nivipleura,Uranotaenia,nivipleura,"Mosquitoes and frog-biting midges (Diptera: Culicidae and Corethrellidae) attracted to traps with natural frog calls and synthesized sounds at Iriomote Island, Ryukyu Archipelago, Japan",Toma T.; Takara T.; Miyagi I.; Futami K.; Higa Y.,Medical Entomology and Zoology,2019,https://doi.org/10.7601/mez.70.221,Female,Field,Mixed frog call,"Dominant frequency in spectrum of frog call sound, call duration, call rate (call/min) for 8 species of frogs: F. sakishimensis=1,037 Hz, 0.4 s, about 100; M. okinavensis 2,572 Hz, 0.5 s, 36; R. okinavana=1,283 Hz, 0.56 s, 23; R. owstoni=1,386 Hz, 3.45 s, 8; O. supranarina=3,864 Hz, 0.02 s, 22; K. eingeri=2,652 Hz, 0.15 s, 16; H. hallowellii=3,794 Hz, 0.29 s, 9; and B. japonica=3,194 Hz, 0.49 s, 19",62.4-80 dB (1m away from speaker),12 h,Attraction,CDC minature light trap + speaker,CDC miniature light trap (without speaker),194 females,,,,,7pm-7am,,,,
Ur. nivipleura,Uranotaenia,nivipleura,"Within host acoustic signal preference of frog?biting mosquitoes (Diptera: Culicidae) and midges (Diptera: Corethrellidae) on Iriomote Island, Japan",Legett H.D.; Aihara I.; Ximean E.B.,Entomological Science,2018,https://doi.org/10.1111/ens.12455,Female,Field,Frog call (dominant frequency: 1. 8 kHz and 3 kHz),,80 dB (1m from speaker),one call/2s for 45 min,,CDC minature light trap + speaker,CDC minature light trap,"1 female (30 trials), 0 female (30 trials)",,,,,30 min after dusk,,,,
Ur. ohamai,Uranotaenia,ohamai,"Culicid and Chaoborid flies (Diptera: Culicidae and Chaoboridae) attracted to a CDC miniature frog call trap at Iriomote Island, the Ryukyu Archipelago, Japan",Toma T.; Miyagi I.; Higa Y.; Okazawa T.; Sasaki H.,Medical Entomology and Zoology,2005,https://doi.org/10.7601/mez.56.65_1,Female,Field,"Frog call (Hyla hallowellii, Rhacophorus owstoni, Chirixalus eiffingeri, Buergeria japonica, Microhyla ornate, Rana limnocharis, Rana narina and Rana psaltes)",,,12 h continuously,,CDC minature light trap + speaker,CDC minature light trap,2 females (6 days),,,,,7pm-7am,,,,
Ur. ohamai,Uranotaenia,ohamai,"Mosquitoes and frog-biting midges (Diptera: Culicidae and Corethrellidae) attracted to traps with natural frog calls and synthesized sounds at Iriomote Island, Ryukyu Archipelago, Japan",Toma T.; Takara T.; Miyagi I.; Futami K.; Higa Y.,Medical Entomology and Zoology,2019,https://doi.org/10.7601/mez.70.221,Female,Field,"Mixed frog call, Pure tone","Dominant frequency in spectrum of frog call sound, call duration, call rate (call/min) for 8 species of frogs: F. sakishimensis=1,037 Hz, 0.4 s, about 100; M. okinavensis 2,572 Hz, 0.5 s, 36; R. okinavana=1,283 Hz, 0.56 s, 23; R. owstoni=1,386 Hz, 3.45 s, 8; O. supranarina=3,864 Hz, 0.02 s, 22; K. eingeri=2,652 Hz, 0.15 s, 16; H. hallowellii=3,794 Hz, 0.29 s, 9; and B. japonica=3,194 Hz, 0.49 s, 19",62.4-80 dB (1m away from speaker),12 h,Attraction,CDC minature light trap + speaker,CDC miniature light trap (without speaker),"44 females, 119 females",,,,,7pm-7am,,,,
Ur. ohamai,Uranotaenia,ohamai,"Within host acoustic signal preference of frog?biting mosquitoes (Diptera: Culicidae) and midges (Diptera: Corethrellidae) on Iriomote Island, Japan",Legett H.D.; Aihara I.; Ximean E.B.,Entomological Science,2018,https://doi.org/10.1111/ens.12455,Female,Field,Frog call (dominant frequency: 1. 8 kHz and 3 kHz),,80 dB (1m from speaker),one call/2s for 45 min,,CDC minature light trap + speaker,CDC minature light trap,"6 females (30 trials), 5 females (30 trials)",,,,,30 min after dusk,,,,
Ur. rutherfordi,Uranotaenia,rutherfordi,Feeding patterns revealed host partitioning in a community of frog-biting mosquitoes,de Silva P.; Bernal X.E.; Chathuranga D.; Herath B.; Ekanayake C.; Abeysundara H.; Parakrama Karunaratne S.H.P.,Ecological Entomology,2020,https://doi.org/10.1111/een.12874,Female,Field,Frog call (Pseudophilautus rus),"Dominant frequency: 3599 +/- 470 Hz, Pulse rate: 90 +/- 2 (pulses/s), Call duration: 80 +/- 8 ms/",60 dB,3 h,Attraction,Sound trap,Trap without sound,10 females,,,,,7pm-11pm,,,,
Ur. unguiculata,Uranotaenia,unguiculata,"Uranotaenia unguiculata Edwards, 1913 are attracted to sound, feed on amphibians, and are infected with multiple viruses.","Camp, J.V.; Bakonyi, T.; Soltész, Z; Zechmeister T.; Nowotny N.",Parasites & Vectors,2018,https://doi.org/10.1186/s13071-018-3030-2,Female,Field,Frog call (Dryophytes gratiosus/Hyla gratiosa),,,"one call/second, 14 seconds, repeatedly broadcasted for 2h",Attraction,CDC minature light trap + speaker,CDC minature light trap,12.2 female/day,,,,,1 h after dusk,,,,
Ur. yaeyamana,Uranotaenia,yaeyamana,"Culicid and Chaoborid flies (Diptera: Culicidae and Chaoboridae) attracted to a CDC miniature frog call trap at Iriomote Island, the Ryukyu Archipelago, Japan",Toma T.; Miyagi I.; Higa Y.; Okazawa T.; Sasaki H.,Medical Entomology and Zoology,2005,https://doi.org/10.7601/mez.56.65_1,Female,Field,"Frog call (Hyla hallowellii, Rhacophorus owstoni, Chirixalus eiffingeri, Buergeria japonica, Microhyla ornate, Rana limnocharis, Rana narina and Rana psaltes)",,,12 h continuously,,CDC minature light trap + speaker,CDC minature light trap,19 females (6 days),,,,,7pm-7am,,,,
Ve. atriisimilis,Verrallina,atriisimilis,"Mosquitoes and frog-biting midges (Diptera: Culicidae and Corethrellidae) attracted to traps with natural frog calls and synthesized sounds at Iriomote Island, Ryukyu Archipelago, Japan",Toma T.; Takara T.; Miyagi I.; Futami K.; Higa Y.,Medical Entomology and Zoology,2019,https://doi.org/10.7601/mez.70.221,Female,Field,Mixed frog call,"Dominant frequency in spectrum of frog call sound, call duration, call rate (call/min) for 8 species of frogs: F. sakishimensis=1,037 Hz, 0.4 s, about 100; M. okinavensis 2,572 Hz, 0.5 s, 36; R. okinavana=1,283 Hz, 0.56 s, 23; R. owstoni=1,386 Hz, 3.45 s, 8; O. supranarina=3,864 Hz, 0.02 s, 22; K. eingeri=2,652 Hz, 0.15 s, 16; H. hallowellii=3,794 Hz, 0.29 s, 9; and B. japonica=3,194 Hz, 0.49 s, 19",62.4-80 dB (1m away from speaker),12 h,Attraction,CDC minature light trap + speaker,CDC miniature light trap (without speaker),5 females,,,,,7pm-7am,,,,
